iter	Logloss
0	0.568209686
1	0.5204559865
2	0.4901358627
3	0.4631105116
4	0.4305590696
5	0.4175702161
6	0.4072039035
7	0.3949968308
8	0.3808486514
9	0.3720740244
10	0.3674867393
11	0.3614761129
12	0.3568957626
13	0.3551297153
14	0.351771582
15	0.3480108664
16	0.3461437201
17	0.343843893
18	0.3417333357
19	0.3402550727
20	0.3385253992
21	0.3367820757
22	0.3360220448
23	0.33287626
24	0.3314912374
25	0.3309469434
26	0.3306010175
27	0.328955299
28	0.3266869671
29	0.3250068887
30	0.3243016686
31	0.3236040205
32	0.3228816783
33	0.3222002304
34	0.3212203987
35	0.3198498794
36	0.3187498423
37	0.3179341679
38	0.3159228694
39	0.3141475714
40	0.3130625185
41	0.3119051128
42	0.3111454323
43	0.3100002717
44	0.3088921917
45	0.3078260054
46	0.306836625
47	0.3052925696
48	0.3043835171
49	0.3029747645
50	0.3027270313
51	0.3020320724
52	0.3004228714
53	0.300034446
54	0.2996028222
55	0.2985456914
56	0.2972498507
57	0.296692889
58	0.295381608
59	0.2944660025
60	0.2934454773
61	0.2927357163
62	0.2916776732
63	0.2907849658
64	0.2903447036
65	0.2901816997
66	0.2894638181
67	0.2889180455
68	0.2881686771
69	0.2867184988
70	0.2860858582
71	0.2848702647
72	0.2840210129
73	0.2828809776
74	0.2819455249
75	0.281415392
76	0.280614307
77	0.2798640014
78	0.27936462
79	0.278664448
80	0.2778237685
81	0.2774221076
82	0.2766330443
83	0.2760787113
84	0.274880839
85	0.2742894137
86	0.2736834189
87	0.2728784
88	0.2720406303
89	0.2713465162
90	0.2706208116
91	0.2698923514
92	0.2693762138
93	0.2686373224
94	0.2677489541
95	0.2669976892
96	0.2662715926
97	0.2653842106
98	0.2643562337
99	0.2633700273
100	0.2622549854
101	0.2615891249
102	0.2606044189
103	0.2599935982
104	0.2589516714
105	0.2577891512
106	0.2572558024
107	0.2560910472
108	0.2550271827
109	0.2539052016
110	0.2530217802
111	0.252013049
112	0.2509864503
113	0.2504173259
114	0.249545022
115	0.2487108217
116	0.2481394368
117	0.2474723324
118	0.2466568571
119	0.246043481
120	0.2448682433
121	0.2443238718
122	0.2435923374
123	0.2425978638
124	0.2416783976
125	0.2410504321
126	0.2400819894
127	0.2391231647
128	0.2383188587
129	0.2373858419
130	0.2368416669
131	0.236025263
132	0.2354735372
133	0.2347584362
134	0.233875904
135	0.2329886453
136	0.2321074619
137	0.2312077793
138	0.2305834062
139	0.2298345774
140	0.2295176183
141	0.2282774277
142	0.2276124384
143	0.2267180204
144	0.22549663
145	0.2245433401
146	0.223112454
147	0.2223572543
148	0.221424852
149	0.2207668223
150	0.2197736813
151	0.2189119357
152	0.2184633341
153	0.2176416622
154	0.2173213529
155	0.2166121069
156	0.2158757986
157	0.2154976312
158	0.214886198
159	0.2140753496
160	0.2133909993
161	0.2128008433
162	0.2120417302
163	0.2115161546
164	0.2108534779
165	0.2099615692
166	0.2091295391
167	0.2084237361
168	0.2075852848
169	0.2071779415
170	0.2066058208
171	0.2060887694
172	0.2055909568
173	0.2051218165
174	0.2041970521
175	0.20359787
176	0.2030390338
177	0.2024011916
178	0.2015300469
179	0.2010237947
180	0.2004507029
181	0.1999534059
182	0.1993314807
183	0.1985743734
184	0.1981575709
185	0.19783568
186	0.1972780367
187	0.19665199
188	0.1960532379
189	0.195620507
190	0.1950001312
191	0.1942281403
192	0.1936700546
193	0.1931665457
194	0.1926337108
195	0.192140621
196	0.1915010332
197	0.1909375478
198	0.1904118988
199	0.190114226
200	0.1895718732
201	0.1891834849
202	0.1886169368
203	0.1880615323
204	0.187692702
205	0.1872579535
206	0.1866678982
207	0.1859194614
208	0.1853214725
209	0.1848667724
210	0.1846104428
211	0.184184452
212	0.1835152686
213	0.1829345743
214	0.1822421687
215	0.1819427747
216	0.1816090871
217	0.1812140202
218	0.1807337714
219	0.1802545687
220	0.1798231904
221	0.1792419918
222	0.1788492621
223	0.1782983968
224	0.1775653731
225	0.1770672648
226	0.1767136736
227	0.1759070919
228	0.1756877618
229	0.1751887924
230	0.1745915419
231	0.1741082184
232	0.1735495183
233	0.1730896031
234	0.172738177
235	0.1722719264
236	0.1719912043
237	0.1714667252
238	0.1709714208
239	0.1707525433
240	0.1704227548
241	0.170019741
242	0.1697459811
243	0.1690331183
244	0.1685696601
245	0.1681150338
246	0.1678497121
247	0.1674676949
248	0.1669654905
249	0.1666486669
250	0.1663531967
251	0.1657750121
252	0.1652991058
253	0.1648197307
254	0.1641897846
255	0.163849565
256	0.1634347681
257	0.1631006868
258	0.1626329229
259	0.1622350757
260	0.16176163
261	0.1612532012
262	0.1608965239
263	0.1605719375
264	0.1600394612
265	0.1594548432
266	0.1589626757
267	0.1585806958
268	0.1581520845
269	0.1576034208
270	0.1570371035
271	0.156756111
272	0.1565489093
273	0.1563027394
274	0.156034884
275	0.1556220792
276	0.155293201
277	0.1548701745
278	0.1544340238
279	0.1540674076
280	0.1536715286
281	0.1533684321
282	0.1527917592
283	0.1525223782
284	0.1520940627
285	0.1517173604
286	0.1513872275
287	0.1507841221
288	0.1504854907
289	0.1501098705
290	0.1497195389
291	0.1492734979
292	0.1487019188
293	0.1484019222
294	0.1479346385
295	0.1476904368
296	0.1471432983
297	0.1466272922
298	0.1460621822
299	0.1456951113
