game_id,move_number,increment_sec,time_left_sec,time_spent_sec,time_left_ratio,eval_volatility,pieces_remaining,material_density,num_minor_pieces,num_rooks,num_queens,num_pawns,complexity_material_score,white_castled_king,white_castled_queen,black_castled_king,black_castled_queen,queen_present,is_opening,is_middlegame,is_endgame,is_pawn_move,is_knight_move,is_bishop_move,is_rook_move,is_queen_move,is_king_move,avg_time_spent_per_move,time_spent_ratio,is_mate_threat,is_checkmate,is_inaccuracy,is_mistake,is_blunder,eval_unified,complexity_material_norm,eval_volatility_norm,time_left_ratio_clipped,time_pressure_norm,material_time_pressure_int,time_eval_volatility_int,move_number_norm,late_endgame_int,cumulative_time_pressure,color_white
04ELJhAC,16,10,476.59,8.72,0.7943166666666667,5.715476066494082,29,0.90625,7,4,2,14,73,1,0,1,0,1,0,1,0,0,1,0,0,0,0,19.46169491525424,0.44805963909983976,0,0,0,0,0,-52.0,0.9358974358974359,0.019125396805615643,0.7943166666666667,0.20568333333333333,0.19249850427350426,0.003933775366301711,0.2542372881355932,0.0,0.8781352330523235,0
04ELJhAC,17,10,451.95,34.64,0.75325,13.572848714334887,28,0.875,6,4,2,14,70,1,0,1,0,1,0,1,0,0,1,0,0,0,0,19.46169491525424,1.7799066397268863,0,0,0,0,0,-32.0,0.8974358974358975,0.04541810943204194,0.75325,0.24675000000000002,0.22144230769230772,0.01120691850235635,0.2711864406779661,0.0,0.9311806099155331,0
04ELJhAC,18,10,461.07,0.8800000000000008,0.76845,8.286535263104035,26,0.8125,6,4,2,12,68,1,0,1,0,1,0,1,0,1,0,0,0,0,0,19.46169491525424,0.04521702779906644,0,0,0,0,0,-45.0,0.8717948717948718,0.027728796902793472,0.76845,0.23155000000000003,0.2018641025641026,0.006420602922841829,0.288135593220339,0.0,0.8819604109090627,0
04ELJhAC,19,10,353.55,117.52,0.58925,5.312459150169743,26,0.8125,6,4,2,12,68,1,0,1,0,1,0,1,0,0,0,0,1,0,0,19.46169491525424,6.038528530620775,0,0,0,0,0,-39.0,0.8717948717948718,0.017776802505787417,0.58925,0.41074999999999995,0.35808974358974355,0.007301821629252181,0.3050847457627119,0.0,1.1533587329991528,0
04ELJhAC,20,10,311.15,52.4,0.5185833333333333,42.96768811819205,26,0.8125,6,4,2,12,68,1,0,1,0,1,0,1,0,0,0,1,0,0,0,19.46169491525424,2.6924684734898627,0,0,0,0,0,49.0,0.8717948717948718,0.1437805137349551,0.5185833333333333,0.4814166666666667,0.41969658119658126,0.06921833565390298,0.3220338983050847,0.0,1.2303142200236885,0
04ELJhAC,21,10,173.07,148.08,0.28845,50.40502620440412,26,0.8125,6,4,2,12,68,1,0,1,0,1,0,1,0,0,0,0,0,1,0,19.46169491525424,7.608792586915627,0,0,0,0,0,80.0,0.8717948717948718,0.16866768681056143,0.28845,0.71155,0.620325641025641,0.12001549255005499,0.3389830508474576,0.0,1.5340512851137806,0
04ELJhAC,22,10,177.39,5.68,0.29564999999999997,13.960261060914616,25,0.78125,6,4,2,11,67,1,0,1,0,1,0,1,0,1,0,0,0,0,0,19.46169491525424,0.29185536124851946,0,0,0,0,0,52.0,0.8589743589743589,0.04671448698126629,0.29564999999999997,0.70435,0.6050185897435897,0.03290334890525491,0.3559322033898305,0.0,1.4775878340289963,0
04ELJhAC,23,10,179.47,7.92,0.29911666666666664,13.199326582148888,24,0.75,6,3,2,11,62,1,0,1,0,1,0,1,0,0,0,0,1,0,0,19.46169491525424,0.40695325019159756,0,0,0,0,0,80.0,0.7948717948717948,0.04416821197632241,0.29911666666666664,0.7008833333333333,0.5571123931623931,0.030956763637338104,0.3728813559322034,0.0,1.4310385042969351,0
04ELJhAC,24,10,187.23,2.24,0.31205,18.553226733434325,22,0.6875,5,2,2,11,54,1,0,1,0,1,0,1,0,0,0,1,0,0,0,19.46169491525424,0.11509788894307811,0,0,0,0,0,97.0,0.6923076923076923,0.06208368632346455,0.31205,0.6879500000000001,0.47627307692307697,0.04271047200622744,0.3898305084745763,0.0,1.376207645323858,0
04ELJhAC,25,10,143.55,53.68,0.23925000000000002,64.71990935304736,21,0.65625,4,2,2,11,51,1,0,1,0,1,0,1,0,0,1,0,0,0,0,19.46169491525424,2.7582386957430503,0,0,1,0,0,225.0,0.6538461538461539,0.21656882702332414,0.23925000000000002,0.76075,0.49741346153846155,0.16475473515799385,0.4067796610169492,0.0,1.4314888873406255,0
04ELJhAC,26,10,153.55,0.0,0.2559166666666667,57.52101065407897,19,0.59375,4,2,1,10,41,1,0,1,0,1,0,1,0,0,0,0,0,1,0,19.46169491525424,0.0,0,0,0,0,0,212.0,0.5256410256410257,0.19247953112226449,0.2559166666666667,0.7440833333333333,0.3911207264957265,0.14322081111589163,0.423728813559322,0.0,1.3764316224429092,0
