time_left_sec,time_spent_ratio,eval_unified,complexity_material_norm,eval_volatility_norm,time_eval_volatility_int,color_white
-0.5612514770421657,-0.9782763748127712,-0.2757017267163743,-0.4373269458133029,0.3969844801777688,0.415778481863531,0
-0.8064319073395404,0.0979596683113477,-0.012405872545236,-0.388966474902812,0.3909249304929603,0.5327353562561771,1
0.784686926777798,1.0062883962259646,0.0118696317400462,0.4331615305755346,-0.4858079375125207,-0.4486310743548953,1
-1.074598002977294,-0.5405759017646631,-4.462868752457867,-1.6946991894860683,-0.5682999970919834,-0.3633008134996079,0
-1.141001036182833,1.447006532162416,-0.235420395429807,-0.6791293003657579,-0.3620244241194851,-0.1319136099337261,0
0.2560166239490838,-0.641941487428242,0.395209188420822,-0.4856874167237941,0.1995529427022489,-0.0840440337236406,1
-1.6415777480399736,-0.9906126617957705,-0.2855719867005,-0.7274897712762489,0.1781503537438092,0.664407584594481,1
-0.6259518683706395,1.054004865304802,-0.0281449357631662,0.6749638851279894,-0.6610811518442761,-0.4797059974773387,0
1.3065466620982524,-1.1573099104946134,-0.0153402741621382,0.8684057687699535,-0.6613638932365734,-0.4924657894905543,1
0.8212937271346978,-0.733910581589051,-0.0020020849944007,0.6749638851279894,-0.5712295225474439,-0.4690727033070108,0
-0.9145496665331746,-1.0821496260642978,4.431256993326772,-1.7430596603965594,3.4129866024775306,3.607036055115892,1
-0.0436483464143742,-0.6790101766644835,-0.1177775669703622,-0.8242107130972308,-0.4871118935924345,-0.3719512412498904,1
0.7131759679410637,-0.4362437385509279,0.1524541455679994,-0.2438850621713392,-0.5039773887487115,-0.4464694332474191,1
-0.6055201658458583,-0.2935202862583567,-4.291670426852122,-1.2594549512916495,3.4129866024775306,1.3416754422174784,0
0.3351894712326111,-0.963920831929602,-4.462868752457867,-0.7274897712762489,3.4129866024775306,1.2438814061659036,0
-0.435255978139348,-0.9994154240891846,-4.397650342703298,-2.2266643695014694,3.4129866024775306,-0.4924657894905543,0
0.0312678961764902,1.9621331209636428,-0.1025720313191415,1.1102081233224088,-0.6111765647373238,-0.4488151980127394,1
0.3964845788069547,0.9809397326589204,-0.0238767152294902,0.3848010596650437,0.0310949171598277,-0.2081152302562721,1
-1.739479655971217,-1.035585111400723,0.0033331906726942,-1.114373538560177,0.1230553590077535,0.6275106380720687,0
-1.0303293141736016,0.9072422091573292,-0.0961697005186275,0.1429987051125889,-0.5941337990943131,-0.3929562200531245,1
-1.0184108210341458,-0.4843038932202329,-0.172464142558086,-1.3561758931126318,-0.5681012984121836,-0.3662100925659527,0
1.054555664292617,0.3218931276982347,-0.0246770065795545,0.8684057687699535,-0.630369453142896,-0.4871221763439392,0
-0.4114189918604364,0.4167875758888437,0.2356844459746814,-0.6791293003657579,0.7692982799803446,0.6265498759545725,1
1.0766900086944633,0.5237686822684139,-0.0172076206456215,0.6749638851279894,-0.5924263129832197,-0.4846249881783347,1
-1.2201738834663605,-1.2285202881343422,1.5756389297655906,-1.4528968349336135,3.4129866024775306,4.184946490383634,1
1.007733012673327,0.4090424488590682,-0.004936486611303,1.3520104778748632,-0.5760847461033943,-0.4797149548966751,0
-1.2652938932085858,1.672158248294328,0.1335139169498122,-0.0020827076188839,-0.3469866792325475,-0.1664812536692881,0
-0.6506401755880836,-0.3661754459957448,0.2618272967434469,-0.7758502421867398,0.5328427543640721,0.579775201669716,0
-0.8362281401881798,0.296406026178918,-0.019875258479169,0.5782429433070074,-0.5602518195818534,-0.3687727039363198,1
-0.1807110175181152,1.8858787906703924,-0.0452178178978702,0.2880801178440617,-0.4840190916910155,-0.3571717196123937,0
0.8357661830897513,-0.7540663238408315,-0.0270778806297472,0.2880801178440617,-0.424796377432641,-0.4416594255769283,1
-0.8702809777294818,0.3337453770722386,0.115640743465044,-1.114373538560177,-0.5024302538593368,-0.3101455814288241,1
-0.4341918269661824,-1.293638661399266,0.1970036973882427,-0.195524591260848,0.0362478102729963,0.07152287837011,1
-1.8446177918799869,-0.7295366232870418,-0.043350471414387,-0.8242107130972308,-0.5663768383245467,-0.3213787671435252,0
-0.5246446766852659,-1.0020191255756297,-0.0281449357631662,-1.114373538560177,-0.6886477088589668,-0.4924657894905543,0
1.3167625133606429,-0.8581885919757998,-0.0740283065001832,0.3364405887545525,-0.3972564302786129,-0.4924657894905543,0
0.8698190206310532,1.343770603640603,-0.0356143216970992,1.3520104778748632,-0.5759470543543577,-0.4725337898443962,0
-0.0061902251189421,-1.1855650492284586,-0.0121391087618812,0.8684057687699535,-0.6345080656436227,-0.4924657894905543,0
1.2222658891835296,-0.3913619037246151,-0.0281449357631662,0.8684057687699535,-0.6886477088589668,-0.4924657894905543,1
-0.1185645890052389,-0.4084437910401799,-0.0142732190287192,1.3520104778748632,-0.2101588862631959,-0.4575283422630724,1
-0.8558085217744285,-1.082946384183162,-0.045484581681225,-1.114373538560177,-0.5829045890143224,-0.3896412330514444,0
0.6127200971942227,-0.7037299420659802,0.0748258846117672,0.0462777632916068,-0.2179359910498291,-0.3534248158037799,1
0.0253086496067623,0.871792131782026,-0.054021022748577,-0.8242107130972308,-0.6163541777849851,-0.4515338764957997,1
-1.5411218772931323,-1.2367880544665375,-2.183596305269546,-1.3078154222021403,3.4129866024775306,4.791832936333325,0
1.0681767993091376,1.3712798401813595,0.0142705057902389,0.7233243560384807,-0.6033630515566955,-0.4851814723882091,1
-0.7017194319000367,1.346046353939486,-0.0281449357631662,-0.0504431785293751,-0.4496221743237175,-0.3679122339008875,1
-1.714791348753773,-0.5331886248274087,0.1884672563208907,-0.9209316549182128,3.4129866024775306,5.120227724062071,1
1.2656832570486896,-1.038899436473825,-0.0142732190287192,1.3520104778748632,-0.5928300973742294,-0.4924657894905543,1
0.0627667709021947,-0.1249682145655209,-0.5518022424885405,-0.7758502421867398,0.1702870787968966,-0.0209778047233553,0
-1.0022357232020274,0.4128987089816818,0.0686903175946079,0.5298824723965166,0.6107455020538478,0.4846694881589494,1
-1.6432803899170387,-0.5886267184155091,0.2170109811398489,-1.6463387185755776,3.4129866024775306,4.985006340879646,1
1.298884773651459,-0.5699230031202357,-0.0206755498292332,0.8684057687699535,-0.5928300973742294,-0.4924657894905543,0
-1.1478116036910937,-1.280271752726944,-0.2959757742513352,-0.4373269458133029,2.867444687690547,3.444190861285962,0
0.2713404008426697,1.9621331209636428,0.1343142082998764,-0.29224553308183,-0.5155065123858941,-0.4140733419840491,1
1.2741964664340153,-1.2571761243957842,-0.0281449357631662,1.3520104778748632,-0.56361755852213,-0.4924657894905543,1
-0.6659639524816695,0.767728656867144,-0.1818008749755023,-1.6463387185755776,-0.6678093504694941,-0.482179645677708,0
