iter	Logloss
0	0.6037567422
1	0.5585699576
2	0.5157541136
3	0.4734574606
4	0.4385625963
5	0.4153158009
6	0.3947875806
7	0.3846537319
8	0.3797110377
9	0.3679576795
10	0.3535911573
11	0.3479295584
12	0.3434017444
13	0.3357702781
14	0.3291154756
15	0.3255451454
16	0.319991506
17	0.3176747745
18	0.3119547634
19	0.3104094548
20	0.3065013111
21	0.3029783346
22	0.2982666812
23	0.2965446569
24	0.2938628217
25	0.2908778938
26	0.2881527046
27	0.2853160025
28	0.2825120205
29	0.279897488
30	0.2783665809
31	0.2769144761
32	0.2745872413
33	0.2729854347
34	0.2713392709
35	0.2693034181
36	0.2673275067
37	0.2662850081
38	0.2647990665
39	0.2622840318
40	0.2604138902
41	0.2593903272
42	0.2577837488
43	0.255991992
44	0.2554225285
45	0.2546982328
46	0.2533986765
47	0.252463128
48	0.2510571059
49	0.2499951185
50	0.2490686104
51	0.2483198283
52	0.2468272766
53	0.2447727109
54	0.2434136964
55	0.2425137374
56	0.2416623114
57	0.2403291596
58	0.2388894101
59	0.2378020823
60	0.2359140681
61	0.233945655
62	0.2320598081
63	0.23000145
64	0.2293088889
65	0.2287287973
66	0.2270703707
67	0.2261374204
68	0.2252327121
69	0.2244565239
70	0.2238690744
71	0.2232364874
72	0.2223167305
73	0.2210731439
74	0.2203736235
75	0.2197699893
76	0.2192290676
77	0.2187822625
78	0.2176656166
79	0.2168367399
80	0.2152544883
81	0.2148136252
82	0.2135631113
83	0.2129567165
84	0.2120671614
85	0.2108460718
86	0.2101318199
87	0.2095760476
88	0.2089552617
89	0.2084162386
90	0.2069447667
91	0.2057643329
92	0.2051785071
93	0.2042805385
94	0.2037660981
95	0.2031453507
96	0.2015807422
97	0.2005130831
98	0.1994040627
99	0.1989223393
100	0.1966041118
101	0.1951793907
102	0.1946127655
103	0.1933880146
104	0.192489829
105	0.1919970597
106	0.1918201885
107	0.1910841667
108	0.1902962505
109	0.1898220273
110	0.1887919847
111	0.1882121074
112	0.1871068835
113	0.1868997387
114	0.1859494632
115	0.1854223032
116	0.1851674393
117	0.1844510726
118	0.1837813028
119	0.1828844268
120	0.1817540415
121	0.1811735375
122	0.1806112957
123	0.1799923902
124	0.1794018768
125	0.1790240671
126	0.1787327144
127	0.1781546712
128	0.1775799907
129	0.1770435691
130	0.1763617456
131	0.1758962473
132	0.1753475179
133	0.1746808537
134	0.1738414768
135	0.1730615904
136	0.1725437656
137	0.1718201455
138	0.1715850702
139	0.1710987268
140	0.1701478863
141	0.1694038821
142	0.1691764217
143	0.1688786271
144	0.1681317263
145	0.1675366325
146	0.1665593581
147	0.1662146175
148	0.165309406
149	0.1647999793
150	0.1637043365
151	0.163027435
152	0.1621867252
153	0.1615238654
154	0.1603566765
155	0.1593998312
156	0.158710691
157	0.1578372448
158	0.1571992407
159	0.1568492811
160	0.1562853738
161	0.1554416885
162	0.1546481847
163	0.1536218023
164	0.1525134535
165	0.1517695184
166	0.1513790518
167	0.1507603555
168	0.1500933808
169	0.1490833687
170	0.1482474004
171	0.1477220917
172	0.1468914547
173	0.1464921606
174	0.14573515
175	0.144760781
176	0.1437527388
177	0.1430084587
178	0.1421717396
179	0.1414222518
180	0.1406618061
181	0.1403885018
182	0.1400587575
183	0.1392242926
184	0.1387739892
185	0.1379335136
186	0.1371202489
187	0.1366390408
188	0.1357686235
189	0.1348069978
190	0.1340164613
191	0.13322506
192	0.1328050197
193	0.1322335529
194	0.1316372525
195	0.1309023053
196	0.1303582327
197	0.1299207585
198	0.128904381
199	0.1284406451
