game_id,move_number,color,username,move,time_control,increment_sec,time_left_cs,time_left_sec,time_spent_cs,time_spent_sec,time_left_ratio,time_spent_ratio,eval,mate,best_move,variation,judgment,eval_volatility,pieces_remaining,material_density,num_minor_pieces,num_rooks,num_queens,num_pawns,complexity_material_score,white_castled_king,white_castled_queen,black_castled_king,black_castled_queen,queen_present,is_opening,is_middlegame,is_endgame,is_pawn_move,is_knight_move,is_bishop_move,is_rook_move,is_queen_move,is_king_move
WGJV5DRb,11,white,stevenhan,Ne5,10+5,5,47155.0,471.55,4616.0,46.16,0.7859166666666667,0.07693333333333333,39.0,,,,,20.368821489936252,30,0.9375,8,4,2,14,76,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,11,black,Mein_letzter_Flug,Be6,10+5,5,53835.0,538.35,1240.0,12.4,0.89725,0.020666666666666667,46.0,,,,,6.548960901462833,30,0.9375,8,4,2,14,76,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,12,white,stevenhan,f4,10+5,5,42611.0,426.11,4544.0,45.44,0.7101833333333334,0.07573333333333333,37.0,,,,,3.8586123009300755,30,0.9375,8,4,2,14,76,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,12,black,Mein_letzter_Flug,Nxe5,10+5,5,49747.0,497.47,4088.0,40.88,0.8291166666666667,0.06813333333333334,204.0,,e6f5,Bf5 a3,Mistake,76.69130039030212,29,0.90625,7,4,2,14,73,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,13,white,stevenhan,dxe5,10+5,5,41307.0,413.07,1304.0,13.04,0.68845,0.02173333333333333,234.0,,,,,86.66538460590183,28,0.875,7,4,2,13,72,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,13,black,Mein_letzter_Flug,Nh7,10+5,5,47323.0,473.23,2424.0,24.24,0.7887166666666667,0.0404,330.0,,f6e4,Ne4 Bxe4 dxe4 f5 Bc8 Qc2 Bd7 f6 gxf6 Rad1 fxe5 Qxe4,Inaccuracy,53.74011537017761,28,0.875,7,4,2,13,72,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,14,white,stevenhan,Nxd5,10+5,5,37667.0,376.67,3640.0,36.4,0.6277833333333334,0.06066666666666667,286.0,,,,,39.2371705854991,27,0.84375,6,4,2,13,69,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,14,black,Mein_letzter_Flug,Bxd5,10+5,5,44483.0,444.83,2840.0,28.4,0.7413833333333333,0.04733333333333333,366.0,,a8c8,Rc8 Qd2 Bxd5 Bxd5 Bc5 Rad1 Qe7 Bxc5 Qxc5+ Qd4 b5 Qxc5,Inaccuracy,32.71425105702746,26,0.8125,5,4,2,13,66,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,15,white,stevenhan,Bxd5,10+5,5,34827.0,348.27,2840.0,28.4,0.58045,0.04733333333333333,343.0,,,,,33.62869145371091,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,15,black,Mein_letzter_Flug,Qc7,10+5,5,39971.0,399.71,4512.0,45.12,0.6661833333333333,0.07519999999999999,344.0,,,,,10.614455552060438,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,0,0,1,0
WGJV5DRb,16,white,stevenhan,Be4,10+5,5,31899.0,318.99,2928.0,29.28,0.5316500000000001,0.0488,250.0,,d1d4,Qd4 Rac8 Rac1 b5 Qxa7 Qxa7 Bxa7 Rfd8 Rfd1 Nf8 Be3 Ne6,Inaccuracy,44.07821331325589,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,16,black,Mein_letzter_Flug,Rfd8,10+5,5,39563.0,395.63,408.0,4.08,0.6593833333333333,0.0068000000000000005,255.0,,,,,43.18178628387977,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,0,1,0,0
WGJV5DRb,17,white,stevenhan,Qc2,10+5,5,31859.0,318.59,40.0,0.4,0.5309833333333333,0.0006666666666666668,248.0,,,,,2.943920288775949,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,0,0,1,0
WGJV5DRb,17,black,Mein_letzter_Flug,Nf8,10+5,5,39947.0,399.47,-384.0,-3.84,0.6657833333333334,-0.0063999999999999994,247.0,,,,,3.559026084010437,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,18,white,stevenhan,Kg2,10+5,5,29563.0,295.63,2296.0,22.96,0.49271666666666664,0.03826666666666667,250.0,,,,,1.247219128924647,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,0,0,0,1
WGJV5DRb,18,black,Mein_letzter_Flug,a6,10+5,5,35187.0,351.87,4760.0,47.6,0.58645,0.07933333333333334,289.0,,,,,19.131126469708992,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,19,white,stevenhan,Bd2,10+5,5,28299.0,282.99,1264.0,12.64,0.47165,0.021066666666666668,205.0,,a1d1,Rad1 Rac8 Bd5 b5 Qf5 Ne6 Qe4 Re8 h4 Bc5 Bd2 Qb6,Inaccuracy,34.322004603461025,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,19,black,Mein_letzter_Flug,Rac8,10+5,5,35059.0,350.59,128.0,1.28,0.5843166666666666,0.0021333333333333334,185.0,,,,,45.057987329908805,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,0,1,0,0
WGJV5DRb,20,white,stevenhan,Bc3,10+5,5,25947.0,259.47,2352.0,23.52,0.43245000000000006,0.0392,176.0,,,,,12.119772641798562,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,20,black,Mein_letzter_Flug,b5,10+5,5,35075.0,350.75,-16.0,-0.16,0.5845833333333333,-0.0002666666666666667,188.0,,,,,5.0990195135927845,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,21,white,stevenhan,a3,10+5,5,25851.0,258.51,96.0,0.96,0.43085,0.0015999999999999999,179.0,,,,,5.0990195135927845,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,21,black,Mein_letzter_Flug,Ne6,10+5,5,35347.0,353.47,-272.0,-2.72,0.5891166666666667,-0.004533333333333334,166.0,,,,,9.030811456096044,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,22,white,stevenhan,e3,10+5,5,24179.0,241.79,1672.0,16.72,0.4029833333333333,0.027866666666666665,115.0,,,,,27.6204433144888,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,22,black,Mein_letzter_Flug,Bc5,10+5,5,34851.0,348.51,496.0,4.96,0.58085,0.008266666666666667,130.0,,,,,21.400934559032695,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,23,white,stevenhan,Rae1,10+5,5,21187.0,211.87,2992.0,29.92,0.3531166666666667,0.04986666666666667,45.0,,c2e2,Qe2 Bb6 Rad1 Ba5 Bxa5 Qxa5 h4 Qb6 h5 a5 Bf5 Rb8,Inaccuracy,37.04351795148811,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,0,0,0,1,0,0
WGJV5DRb,23,black,Mein_letzter_Flug,a5,10+5,5,34755.0,347.55,96.0,0.96,0.57925,0.0015999999999999999,35.0,,,,,42.62237284181474,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,24,white,stevenhan,h4,10+5,5,20667.0,206.67,520.0,5.2,0.34445,0.008666666666666666,2.0,,,,,18.372685039360892,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,24,black,Mein_letzter_Flug,b4,10+5,5,34923.0,349.23,-168.0,-1.68,0.5820500000000001,-0.0028,0.0,,,,,16.048537489614297,25,0.78125,4,4,2,13,63,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,25,white,stevenhan,axb4,10+5,5,19075.0,190.75,1592.0,15.92,0.3179166666666667,0.026533333333333332,1.0,,,,,0.816496580927726,24,0.75,4,4,2,12,62,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,25,black,Mein_letzter_Flug,axb4,10+5,5,35427.0,354.27,-504.0,-5.04,0.5904499999999999,-0.0084,1.0,,,,,0.4714045207910317,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,26,white,stevenhan,Bd2,10+5,5,17707.0,177.07,1368.0,13.68,0.29511666666666664,0.0228,1.0,,,,,0.0,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,26,black,Mein_letzter_Flug,Be7,10+5,5,35467.0,354.67,-40.0,-0.4,0.5911166666666667,-0.0006666666666666668,42.0,,,,,19.3275853524323,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,0,0,1,0,0,0
WGJV5DRb,27,white,stevenhan,f5,10+5,5,16683.0,166.83,1024.0,10.24,0.27805,0.017066666666666667,-290.0,,e1d1,Rd1 c3,Blunder,147.79339934140796,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,1,0,0,0,0,0
WGJV5DRb,27,black,Mein_letzter_Flug,Nc5,10+5,5,34403.0,344.03,1064.0,10.64,0.5733833333333332,0.017733333333333334,-299.0,,,,,158.67016802859388,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,0,1,0,0,0,0
WGJV5DRb,28,white,stevenhan,f6,10+5,5,15859.0,158.59,824.0,8.24,0.2643166666666667,0.013733333333333334,-385.0,,d2b4,Bxb4 Nxe4 Qxe4 Bxb4 Rd1 Re8 Rd5 Qb7 Rd4 Qxe4+ Rxe4 Bf8,Inaccuracy,42.82003684673281,23,0.71875,4,4,2,11,61,1,0,1,0,1,0,1,0,1,0,0,0,0,0
